Order date,Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Quantity,Price ,TAX amt,Total amount,price_range
02/03/2024,Apple,"MacBook 12""",Ultrabook,12,8,Mac OS X,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M,512,0,Flash Storage,No,Intel,HD Graphics 515,1,69258,9696,78954,premium
05/03/2024,Apple,"MacBook 12""",Ultrabook,12,8,Mac OS X,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.2,Core M,512,0,Flash Storage,No,Intel,HD Graphics 5300,1,63085,8832,71917,premium
11/03/2024,Apple,"MacBook 12""",Ultrabook,12,8,macOS,0.92,Standard,2304,1440,No,Yes,Yes,Intel,1.3,Core i5,512,0,SSD,No,Intel,HD Graphics 615,1,81767,11447,93214,premium
05/01/2024,HP,EliteBook Folio,Ultrabook,12.5,8,Windows 10,0.97,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.2,Core M 6Y75,512,0,SSD,No,Intel,HD Graphics 515,1,109058,15268,124326,premium
26/03/2024,HP,EliteBook Folio,Netbook,12.5,8,Windows 10,0.97,Full HD,1920,1080,No,No,No,Intel,1.2,Core M 6Y75,512,0,SSD,No,Intel,HD Graphics 515,1,103318,14465,117783,premium
12/12/2023,Asus,Vivobook E200HA,Netbook,11.6,2,Windows 10,0.98,Standard,1366,768,No,No,No,Intel,1.44,Atom x5-Z8350,32,0,Flash Storage,No,Intel,HD Graphics 400,1,10391,1455,11846,low
17/06/2024,LG,Gram 14Z970,Ultrabook,14,8,Windows 10,0.98,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,102831,14396,117227,premium
29/01/2024,Lenovo,Yoga 900S-12ISK,Ultrabook,12.5,8,Windows 10,0.99,Standard,2560,1440,Yes,Yes,No,Intel,1.2,Core M 6Y75,512,0,SSD,No,Intel,HD Graphics 515,1,75756,10606,86362,premium
31/08/2023,Huawei,MateBook X,Ultrabook,13,8,Windows 10,1.05,Full HD,2160,1440,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,73048,10227,83275,premium
18/09/2023,Toshiba,Portege X30-D-10L,Ultrabook,13.3,32,Windows 10,1.05,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,151566,21219,172785,premium
27/10/2023,Huawei,MateBook X,Ultrabook,13,8,Windows 10,1.05,Full HD,2160,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,81171,11364,92535,premium
13/12/2023,Toshiba,Portege X30-D-10J,Notebook,13.3,8,Windows 10,1.05,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,90539,12675,103214,premium
07/02/2024,Toshiba,Portege X30-D-10X,Notebook,13.3,4,Windows 10,1.05,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,1,69583,9742,79325,premium
12/03/2024,Toshiba,Portege X30-D-10V,Notebook,13.3,8,Windows 10,1.05,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,79871,11182,91053,premium
03/05/2024,Toshiba,Portege X30-D-10K,Ultrabook,13.3,16,Windows 10,1.05,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,120538,16875,137413,premium
20/07/2023,LG,Gram 15Z970,Ultrabook,15.6,16,Windows 10,1.08,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,113661,15913,129574,premium
03/12/2023,Apple,MacBook Air,Ultrabook,11.6,4,Mac OS X,1.08,Standard,1366,768,No,No,No,Intel,1.6,Core i5,256,0,Flash Storage,No,Intel,HD Graphics 6000,1,51930,7270,59200,high
20/10/2023,HP,Elitebook Folio,Ultrabook,12.5,8,Windows 10,1.09,4K Ultra HD,3840,2160,Yes,No,No,Intel,1.2,Core M 6Y75,240,0,SSD,No,Intel,HD Graphics 515,1,167865,23501,191366,premium
15/12/2023,LG,Gram 15Z975,Ultrabook,15.6,8,Windows 10,1.09,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,HD Graphics 620,1,124491,17429,141920,premium
16/07/2023,Toshiba,Portege X20W-D-10V,Ultrabook,12.5,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,96929,13570,110499,premium
08/09/2023,Google,Pixelbook (Core,Ultrabook,12.3,16,Chrome OS,1.1,Standard,2400,1600,Yes,No,No,Intel,1.3,Core i7 7Y75,512,0,SSD,No,Intel,HD Graphics 615,1,119076,16671,135747,premium
12/02/2024,Asus,VivoBook E12,Netbook,11.6,2,Windows 10,1.1,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,1,13267,1857,15124,low
03/11/2023,Google,Pixelbook (Core,Ultrabook,12.3,8,Chrome OS,1.1,Standard,2400,1600,Yes,No,No,Intel,1.2,Core i5 7Y57,256,0,SSD,No,Intel,HD Graphics 615,1,84420,11819,96239,premium
11/11/2023,Asus,Zenbook 3,Ultrabook,14,8,Windows 10,1.1,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,101423,14199,115622,premium
19/11/2023,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,73536,10295,83831,premium
21/11/2023,Lenovo,Yoga 700-11ISK,2 in 1 Convertible,11.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,Yes,No,Intel,1.2,Core M m7-6Y75,256,0,SSD,No,Intel,HD Graphics 515,1,70341,9848,80189,premium
05/12/2023,Lenovo,ThinkPad X1,Notebook,14,16,Windows 7,1.1,Standard,2560,1440,No,Yes,No,Intel,2.6,Core i7 6600U,256,0,SSD,No,Intel,HD Graphics 520,1,141873,19862,161735,premium
08/12/2023,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,HD Graphics 620,1,71207,9969,81176,premium
25/12/2023,Lenovo,Thinkpad X1,Ultrabook,14,16,Windows 10,1.1,Quad HD+,2560,1440,No,Yes,No,Intel,2.6,Core i7 6600U,512,0,SSD,No,Intel,HD Graphics 520,1,113661,15913,129574,premium
20/01/2024,Asus,ZenBook 3,Ultrabook,14,16,Windows 10,1.1,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,102885,14404,117289,premium
21/01/2024,Asus,Zenbook 3,Ultrabook,14,8,Windows 10,1.1,Full HD,1920,1080,No,No,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,61460,8604,70064,premium
25/01/2024,Google,Pixelbook (Core,Ultrabook,12.3,8,Chrome OS,1.1,Standard,2400,1600,Yes,No,No,Intel,1.2,Core i5 7Y57,128,0,SSD,No,Intel,HD Graphics 615,1,69041,9666,78707,premium
10/02/2024,Asus,ZenBook Flip,2 in 1 Convertible,13.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,1.8,Core i7 8550U,512,512,SSD,SSD,Intel,UHD Graphics 620,1,81171,11364,92535,premium
14/04/2024,Asus,VivoBook Flip,2 in 1 Convertible,11.6,2,Windows 10,1.1,Standard,1366,768,Yes,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,1,14891,2085,16976,low
29/05/2024,Asus,Zenbook Flip,Ultrabook,13.3,16,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,94703,13258,107961,premium
16/06/2024,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,8,Windows 10,1.1,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,54096,7573,61669,high
23/02/2024,HP,Spectre 13-V100nv,Notebook,13.3,8,Windows 10,1.11,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,62218,8711,70929,premium
29/02/2024,HP,Spectre 13-V111dx,Ultrabook,13.3,8,Windows 10,1.11,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,1,73048,10227,83275,premium
04/07/2023,Acer,Swift 7,Ultrabook,13.3,8,Windows 10,1.12,Full HD,1920,1080,No,Yes,No,Intel,1.2,Core i5 7Y54,256,0,SSD,No,Intel,HD Graphics 615,1,53554,7498,61052,high
16/10/2023,Lenovo,ThinkPad X1,Ultrabook,14,8,Windows 10,1.13,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,256,0,Flash Storage,No,Intel,HD Graphics 620,1,110953,15533,126486,premium
11/03/2024,Lenovo,Thinkpad X1,Ultrabook,14,8,Windows 10,1.13,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,123570,17300,140870,premium
25/03/2024,Lenovo,Thinkpad X1,Ultrabook,14,8,Windows 10,1.13,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,135321,18945,154266,premium
29/03/2024,Lenovo,ThinkPad X1,Ultrabook,14,8,Windows 10,1.13,Full HD,1920,1080,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,Flash Storage,No,Intel,HD Graphics 620,1,101531,14214,115745,premium
02/04/2024,Lenovo,Thinkpad X1,Ultrabook,14,16,Windows 10,1.13,Standard,2560,1440,No,Yes,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620,1,142144,19900,162044,premium
11/09/2023,Lenovo,ThinkPad X1,Ultrabook,14,16,Windows 10,1.14,Full HD,1920,1080,No,Yes,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,132668,18574,151242,premium
22/12/2023,Samsung,Chromebook Plus,2 in 1 Convertible,12.3,4,Chrome OS,1.15,Standard,2400,1600,Yes,Yes,No,Samsung,2,Cortex A72&A53,32,0,Flash Storage,No,ARM,Mali T860 MP4,1,35685,4996,40681,mid
04/02/2024,Samsung,Chromebook 3,Netbook,11.6,4,Chrome OS,1.15,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400,1,14566,2039,16605,low
14/08/2023,Lenovo,Lenovo IdeaPad,Notebook,11.6,2,Windows 10,1.15,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,1,16486,2308,18794,low
22/09/2023,HP,EliteBook 1030,Notebook,13.3,8,Windows 10,1.16,Quad HD+,3200,1800,Yes,No,No,Intel,1.1,Core M 6Y54,256,0,SSD,No,Intel,HD Graphics 515,1,92001,12880,104881,premium
02/10/2023,HP,Spectre Pro,Notebook,13.3,8,Windows 10,1.16,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,256,0,SSD,No,Intel,HD Graphics 520,1,91514,12812,104326,premium
26/02/2024,HP,EliteBook 1030,Ultrabook,13.3,16,Windows 10,1.16,Quad HD+,3200,1800,Yes,Yes,No,Intel,1.2,Core M 6Y75,512,0,SSD,No,Intel,HD Graphics 515,1,106405,14897,121302,premium
17/10/2023,Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,4,Windows 10,1.16,Full HD,1920,1080,Yes,Yes,No,Intel,1.1,Celeron Dual Core N3350,32,0,SSD,No,Intel,HD Graphics 500,1,16191,2267,18458,low
03/06/2024,HP,Spectre Pro,Ultrabook,13.3,8,Windows 10,1.16,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520,1,106621,14927,121548,premium
31/01/2024,HP,Stream 11-Y000na,Netbook,11.6,2,Windows 10,1.17,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,32,0,Flash Storage,No,Intel,HD Graphics 400,1,11317,1584,12901,low
25/10/2023,Lenovo,ThinkPad X1,Ultrabook,14,8,Windows 10,1.17,Quad HD+,2560,1440,No,Yes,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520,1,91332,12786,104118,premium
09/04/2024,Samsung,Notebook 9,Ultrabook,15,8,Windows 10,1.17,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,1,92001,12880,104881,premium
27/09/2023,Dell,Latitude 7280,Ultrabook,12.5,16,Windows 10,1.18,Full HD,1920,1080,No,No,No,Intel,2.8,Core i7 7600U,256,0,SSD,No,Intel,HD Graphics 620,1,100665,14093,114758,premium
15/03/2024,Lenovo,Yoga 730,2 in 1 Convertible,13.3,8,Windows 10,1.19,Full HD,1920,1080,Yes,Yes,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1,81171,11364,92535,premium
12/09/2023,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,512,0,SSD,No,Intel,UHD Graphics 620,1,101206,14169,115375,premium
16/09/2023,Asus,Chromebook Flip,2 in 1 Convertible,12.5,8,Chrome OS,1.2,Full HD,1920,1080,No,No,No,Intel,1.2,Core M M7-6Y75,64,0,Flash Storage,No,Intel,HD Graphics 515,1,62760,8786,71546,premium
04/10/2023,Toshiba,Portégé Z30-C-16K,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,256,0,SSD,No,Intel,HD Graphics 520,1,86099,12054,98153,premium
18/10/2023,Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,8,Windows 10,1.2,Quad HD+,3200,1800,No,Yes,No,Intel,2.5,Core i5 7200U,256,0,SSD,No,Intel,HD Graphics 620,1,61135,8559,69694,premium
28/10/2023,Toshiba,Portégé Z30-C-188,Ultrabook,13.3,8,Windows 10,1.2,Standard,1366,768,No,No,No,Intel,2.3,Core i5 6200U,256,0,SSD,No,Intel,HD Graphics 520,1,59294,8301,67595,premium
01/11/2023,Toshiba,Portege Z30-C-16J,Notebook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,256,0,SSD,No,Intel,HD Graphics 520,1,65684,9196,74880,premium
21/11/2023,Mediacom,SmartBook Edge,Notebook,13.3,4,Windows 10,1.2,Full HD,1920,1080,No,Yes,No,Intel,1.1,Celeron Quad Core N3450,32,0,SSD,No,Intel,HD Graphics 500,1,19981,2797,22778,mid
25/11/2023,Asus,VivoBook E201NA,Netbook,11.6,4,Windows 10 S,1.2,Standard,1366,768,No,No,No,Intel,1.1,Celeron Dual Core N3350,64,0,Flash Storage,No,Intel,HD Graphics 500,1,18411,2578,20989,mid
26/11/2023,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1,75756,10606,86362,premium
06/12/2023,Asus,Chromebook Flip,2 in 1 Convertible,12.5,4,Chrome OS,1.2,Full HD,1920,1080,Yes,No,No,Intel,0.9,Core M M3-6Y30,64,0,Flash Storage,No,Intel,HD Graphics 515,1,36226,5072,41298,mid
03/01/2024,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,145122,20317,165439,premium
12/01/2024,Toshiba,Portege Z30-C-16L,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,1,73806,10333,84139,premium
27/01/2024,Toshiba,Portege Z30-C-1CV,Notebook,13.3,4,Windows 7,1.2,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,128,0,SSD,No,Intel,HD Graphics 520,1,64709,9059,73768,premium
02/02/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1,85503,11970,97473,premium
10/02/2024,Acer,SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),2 in 1 Convertible,14,8,Windows 10,1.2,Full HD,1920,1080,Yes,Yes,No,Intel,1.3,Core i7 7Y75,256,0,SSD,No,Intel,HD Graphics 615,1,62218,8711,70929,premium
11/02/2024,Toshiba,Portege Z30-C-1CW,Notebook,13.3,8,Windows 7,1.2,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,256,0,SSD,No,Intel,HD Graphics 520,1,79059,11068,90127,premium
12/02/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1,78463,10985,89448,premium
18/02/2024,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,Core i7 7500U,1024,0,SSD,No,Intel,HD Graphics 620,1,122054,17088,139142,premium
06/02/2024,Asus,Chromebook C202SA,Netbook,11.6,4,Chrome OS,1.2,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400,1,15590,2183,17773,low
12/03/2024,Toshiba,Portege Z30-C-16H,Notebook,13.3,4,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.3,Core i5 6200U,128,0,SSD,No,Intel,HD Graphics 520,1,64709,9059,73768,premium
27/04/2024,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,16,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.5,Core i7 6500U,512,0,SSD,No,Intel,HD Graphics 520,1,94600,13244,107844,premium
18/05/2024,Toshiba,Portege Z30-C-16Z,Notebook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,2.4,Core i5 6300U,256,0,SSD,No,Intel,HD Graphics 520,1,83120,11637,94757,premium
28/05/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1,78512,10992,89504,premium
11/06/2024,Asus,ZenBook UX305CA-UBM1,Ultrabook,13.3,8,Windows 10,1.2,Full HD,1920,1080,No,Yes,No,Intel,0.9,Core M 6Y30,512,0,SSD,No,Intel,HD Graphics 515,1,39475,5527,45002,high
14/11/2023,Dell,XPS 13,Ultrabook,13.3,16,Windows 10,1.21,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,1024,0,SSD,No,Intel,UHD Graphics 620,1,135321,18945,154266,premium
29/12/2023,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1,105538,14775,120313,premium
03/01/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,1,86586,12122,98708,premium
28/01/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,Full HD,1920,1080,No,Yes,No,Intel,1.8,Core i7 8550U,256,0,SSD,No,Intel,UHD Graphics 620,1,89293,12501,101794,premium
22/03/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,Full HD,1920,1080,No,Yes,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1,88210,12349,100559,premium
24/07/2023,Vero,K146 (N3350/4GB/32GB/W10),Notebook,14,4,Windows 10,1.22,Standard,1920,1080,No,No,No,Intel,1.1,Celeron Dual Core N3350,32,0,Flash Storage,No,Intel,HD Graphics 500,1,10987,1538,12525,low
22/08/2023,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.22,Full HD,1920,1080,Yes,Yes,No,Intel,1.6,Core i5 8250U,128,0,SSD,No,Intel,UHD Graphics 620,1,53013,7422,60435,high
12/10/2023,Dell,XPS 13,2 in 1 Convertible,13.3,16,Windows 10,1.22,Quad HD+,3200,1800,Yes,No,No,Intel,1.3,Core i7 7Y75,512,0,SSD,No,Intel,HD Graphics 615,1,102831,14396,117227,premium
23/02/2024,Dell,XPS 13,2 in 1 Convertible,13.3,16,Windows 10,1.22,Full HD,1920,1080,Yes,No,No,Intel,1.3,Core i7 7Y75,256,0,SSD,No,Intel,HD Graphics 615,1,89293,12501,101794,premium
11/07/2023,Dell,XPS 13,Ultrabook,13.3,8,Linux,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,Core i5 6300U,256,0,SSD,No,Intel,HD Graphics 520,1,59511,8332,67843,premium
24/09/2023,Samsung,Notebook 9,Ultrabook,15,16,Windows 10,1.23,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Nvidia,GeForce 940MX,1,100123,14017,114140,premium
06/10/2023,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,Full HD,1920,1080,No,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1,75756,10606,86362,premium
18/11/2023,HP,Chromebook 11,Netbook,11.6,4,Chrome OS,1.23,Standard,1366,768,No,No,No,Intel,1.6,Celeron Dual Core N3060,16,0,Flash Storage,No,Intel,HD Graphics 400,1,20848,2919,23767,mid
10/12/2023,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,Full HD,1920,1080,No,No,No,Intel,2.4,Core i7 7560U,256,0,SSD,No,Intel,Iris Plus Graphics 640,1,74673,10454,85127,premium
18/01/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,1.6,Core i5 8250U,256,0,SSD,No,Intel,UHD Graphics 620,1,101206,14169,115375,premium
28/02/2024,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,Core i7 7560U,256,0,SSD,No,Intel,Iris Plus Graphics 640,1,74673,10454,85127,premium
28/10/2023,Dell,XPS 13,2 in 1 Convertible,13.3,8,Windows 10,1.24,Quad HD+,3200,1800,Yes,No,No,Intel,1.2,Core i5 7Y54,256,0,SSD,No,Intel,HD Graphics 615,1,98174,13744,111918,premium
03/12/2023,Dell,XPS 13,2 in 1 Convertible,13.3,8,Windows 10,1.24,Full HD,1920,1080,Yes,No,No,Intel,1.2,Core i5 7Y54,256,0,SSD,No,Intel,HD Graphics 615,1,102831,14396,117227,premium
09/01/2024,Dell,XPS 13,2 in 1 Convertible,13.3,8,Windows 10,1.24,Quad HD+,3200,1800,Yes,No,No,Intel,1.3,Core i7 7Y75,512,0,SSD,No,Intel,HD Graphics 615,1,109009,15261,124270,premium
05/03/2024,Toshiba,Tecra X40-D-10H,Ultrabook,14,16,Windows 10,1.24,Full HD,1920,1080,Yes,No,No,Intel,2.7,Core i7 7500U,512,0,SSD,No,Intel,HD Graphics 620,1,100990,14139,115129,premium
20/09/2023,Toshiba,Tecra X40-D-10Z,Ultrabook,14,4,Windows 10,1.25,Standard,1366,768,No,No,No,Intel,2.5,Core i5 7200U,128,0,SSD,No,Intel,HD Graphics 620,1,59024,8263,67287,premium
02/10/2023,Asus,Zenbook UX430UA,Ultrabook,14,8,Windows 10,1.25,Full HD,1920,1080,No,No,No,Intel,2.7,Core i7 7500U,256,0,SSD,No,Intel,HD Graphics 620,1,56803,7952,64755,high
07/11/2023,Acer,CB5-132T-C9KK (N3160/4GB/32GB/Chrome,2 in 1 Convertible,11.6,4,Chrome OS,1.25,Standard,1366,768,Yes,Yes,No,Intel,1.6,Celeron Quad Core N3160,32,0,Flash Storage,No,Intel,HD Graphics 400,1,20523,2873,23396,mid
11/12/2023,Razer,Blade Stealth,Ultrabook,12.5,8,Windows 10,1.25,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.5,Core i7 6500U,256,0,SSD,No,Intel,HD Graphics 520,1,55720,7801,63521,high
